commonName,delays,diameter,infoUrl,totImpulseNs,manufacturer,burnTimeS,propInfo,length,avgThrustN,dataFiles,impulseClass,sparky,caseInfo,propWeightG,certOrg,motorId,availability,maxThrustN,totalWeightG,designation,updatedOn,type,mfgID
1/8A0.3,1,6.0,http://www.nar.org/SandT/pdf/Quest/MicroMaxx.pdf,0.135,Quest Aerospace,0.827,black powder,26.0,0.163,2,A,False,,0.4,National Association of Rocketry,5f4294d20002310000000002,OOP,1.898,1.07,MICRO_MAXX,2019-04-17,SU,Quest
1/8A0.3,1,6.0,,0.218,Quest Aerospace,0.772,black powder,26.0,0.284,3,A,False,,0.5,National Association of Rocketry,5f4294d20002310000000001,regular,2.108,1.0,MICRO_MAXX_II,2019-04-17,SU,Quest
1/4A2,"2,4",10.5,http://nar.org/SandT/pdf/Apogee/qtrA2.pdf,0.57,Apogee Components,0.23,,38.0,2.48,2,A,False,,0.75,National Association of Rocketry,5f4294d20002310000000003,OOP,5.4,,1/4A2,2019-04-17,SU,Apogee
1/4A3,3,13.0,http://nar.org/SandT/pdf/Estes/qtrA3.pdf,0.59,Estes Industries,0.25,black powder,45.0,2.36,2,A,False,,0.83,National Association of Rocketry,5f4294d20002310000000004,regular,4.95,6.1,1/4A3,2019-10-05,SU,Estes
1/2A3,"2,4",13.0,http://nar.org/SandT/pdf/Estes/halfA3T.pdf,1.09,Estes Industries,0.36,black powder,45.0,3.03,2,A,False,,2.0,National Association of Rocketry,5f4294d20002310000000006,regular,7.62,6.6,1/2A3,2019-10-05,SU,Estes
1/2A6,2,18.0,http://nar.org/SandT/pdf/Estes/halfA6.pdf,1.13,Estes Industries,0.33,black powder,70.0,3.42,2,A,False,,2.6,National Association of Rocketry,5f4294d20002310000000007,regular,7.86,,1/2A6,2019-04-17,SU,Estes
1/2A2,"2,4,6",10.5,http://nar.org/SandT/pdf/Apogee/halfA2.pdf,1.22,Apogee Components,0.63,,38.0,1.94,2,A,False,,1.5,National Association of Rocketry,5f4294d20002310000000005,OOP,3.97,,1/2A2,2019-04-17,SU,Apogee
A3,"2,4",13.0,,1.71,Quest Aerospace,2.09,black powder,55.0,0.82,1,A,False,,3.6,National Association of Rocketry,5f4294d2000231000000038a,OOP,2.79,8.8,A3T,2019-04-17,SU,Quest
A8,3,18.0,,1.86,Quest Aerospace,0.38,black powder,70.0,4.84,1,A,False,,6.3,National Association of Rocketry,5f4294d2000231000000030f,OOP,11.14,13.1,A8-3,2019-04-17,SU,Quest
A6,4,18.0,http://www.nar.org/SandT/pdf/Quest/A6_cn.pdf,2.3,Quest Aerospace,0.55,black powder,70.0,4.16,2,A,False,,3.5,National Association of Rocketry,5f4294d2000231000000000a,regular,10.07,12.0,A6,2019-04-17,SU,Quest
A8,"3,5",18.0,,2.38,Southern Cross Rocketry,0.75,black powder,70.0,3.17,1,A,False,,3.0,Austrialian Model Rocket Society Inc.,5f4294d20002310000000404,regular,7.18,15.0,SCR-A8,2022-07-13,SU,SCR
A2,"0,3,5,7",10.5,http://nar.org/SandT/pdf/Apogee/A2.pdf,2.47,Apogee Components,1.31,,57.0,1.89,2,A,False,,3.0,National Association of Rocketry,5f4294d20002310000000008,OOP,4.82,,A2,2019-04-17,SU,Apogee
A3,"4,6",18.0,,2.5,Quest Aerospace,0.84,Black Max,80.0,3.4,2,A,False,,2.1,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000045b,regular,7.0,17.9,A3,2019-04-17,SU,Quest
A3,"2,4,6",13.0,https://nar.org/SandT/pdf/Estes/Estes_A3T_2022.pdf,2.5,Estes Industries,1.01,black powder,45.0,2.2,2,A,False,,3.3,National Association of Rocketry,5f4294d20002310000000009,regular,5.83,8.5,A3,2022-07-27,SU,Estes
A10,"0,3,P",13.0,http://www.nar.org/SandT/pdf/Estes/A10T.pdf,2.5,Estes Industries,0.85,black powder,45.0,2.35,3,A,False,,3.8,National Association of Rocketry,5f4294d2000231000000000c,regular,12.64,8.25,A10,2019-10-05,SU,Estes
A8,"0,3,5",18.0,http://nar.org/SandT/pdf/Estes/A8.pdf,2.5,Estes Industries,0.73,black powder,70.0,3.18,3,A,False,,3.3,National Association of Rocketry,5f4294d2000231000000000b,regular,9.73,16.3,A8,2019-10-05,SU,Estes
A6,4,18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-A6-4-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0164&t=23&c=712&p=712,2.5,Raketenmodellbau Klima,0.6,black powder,70.0,6.0,2,A,False,,3.5,Uncertified,5f76951c9503a10004898852,regular,10.5,14.5,A6,2020-10-17,SU,Klima
B4,4,18.0,,3.84,Quest Aerospace,0.91,black powder,70.0,4.22,1,B,False,,10.4,National Association of Rocketry,5f4294d20002310000000310,OOP,12.81,16.6,B4-4,2019-04-17,SU,Quest
B6,"0,2,4,6",18.0,http://www.nar.org/SandT/pdf/Estes/B6.pdf,4.33,Estes Industries,0.86,black powder,70.0,5.03,2,B,False,,5.6,National Association of Rocketry,5f4294d20002310000000010,regular,12.14,19.1,B6,2022-11-30,SU,Estes
B6,"0,2,4",18.0,http://nar.org/SandT/pdf/Quest/B6~04.pdf,4.63,Quest Aerospace,0.75,black powder,70.0,6.17,2,B,False,,6.5,National Association of Rocketry,5f4294d2000231000000000f,OOP,14.38,18.4,B6,2021-06-13,SU,Quest
