motorId,samples
5f4294d20002310000000001,"[{""time"": 0.026, ""thrust"": 0.0394607}, {""time"": 0.036, ""thrust"": 0.1214556}, {""time"": 0.04, ""thrust"": 0.206028}, {""time"": 0.05, ""thrust"": 0.444676}, {""time"": 0.056, ""thrust"": 0.680251}, {""time"": 0.06, ""thrust"": 0.899565}, {""time"": 0.066, ""thrust"": 1.358816}, {""time"": 0.068, ""thrust"": 1.475611}, {""time"": 0.07, ""thrust"": 1.56653}, {""time"": 0.074, ""thrust"": 1.624927}, {""time"": 0.088, ""thrust"": 1.190166}, {""time"": 0.112, ""thrust"": 0.830955}, {""time"": 0.126, ""thrust"": 0.439917}, {""time"": 0.134, ""thrust"": 0.319751}, {""time"": 0.144, ""thrust"": 0.248959}, {""time"": 0.174, ""thrust"": 0.1656754}, {""time"": 0.206, ""thrust"": 0.1918503}, {""time"": 0.258, ""thrust"": 0.1262147}, {""time"": 0.342, ""thrust"": 0.1601231}, {""time"": 0.366, ""thrust"": 0.1386081}, {""time"": 0.384, ""thrust"": 0.1794569}, {""time"": 0.494, ""thrust"": 0.218422}, {""time"": 0.546, ""thrust"": 0.1540751}, {""time"": 0.56, ""thrust"": 0.178168}, {""time"": 0.608, ""thrust"": 0.1523896}, {""time"": 0.682, ""thrust"": 0.209499}, {""time"": 0.698, ""thrust"": 0.1837202}, {""time"": 0.712, ""thrust"": 0.220206}, {""time"": 0.742, ""thrust"": 0.209003}, {""time"": 0.768, ""thrust"": 0.040353}, {""time"": 0.785, ""thrust"": 0.0}]"
5f4294d20002310000000002,"[{""time"": 0.016, ""thrust"": 0.0530363}, {""time"": 0.02, ""thrust"": 0.0985533}, {""time"": 0.024, ""thrust"": 0.176654}, {""time"": 0.03, ""thrust"": 0.415869}, {""time"": 0.032, ""thrust"": 0.434918}, {""time"": 0.038, ""thrust"": 0.657991}, {""time"": 0.052, ""thrust"": 1.247306}, {""time"": 0.058, ""thrust"": 1.453536}, {""time"": 0.064, ""thrust"": 1.700872}, {""time"": 0.066, ""thrust"": 1.755612}, {""time"": 0.07, ""thrust"": 1.951716}, {""time"": 0.074, ""thrust"": 2.06541}, {""time"": 0.076, ""thrust"": 2.09889}, {""time"": 0.078, ""thrust"": 2.09889}, {""time"": 0.08, ""thrust"": 2.02811}, {""time"": 0.082, ""thrust"": 1.911814}, {""time"": 0.084, ""thrust"": 1.619262}, {""time"": 0.086, ""thrust"": 1.151861}, {""time"": 0.088, ""thrust"": 0.728272}, {""time"": 0.09, ""thrust"": 0.433614}, {""time"": 0.092, ""thrust"": 0.292953}, {""time"": 0.098, ""thrust"": 0.217459}, {""time"": 0.154, ""thrust"": 0.224377}, {""time"": 0.172, ""thrust"": 0.150186}, {""time"": 0.196, ""thrust"": 0.0998567}, {""time"": 0.23, ""thrust"": 0.078602}, {""time"": 0.414, ""thrust"": 0.0625608}, {""time"": 0.7559, ""thrust"": 0.082111}, {""time"": 0.8219, ""thrust"": 0.0607562}, {""time"": 0.833, ""thrust"": 0.0208536}, {""time"": 0.834, ""thrust"": 0.0}]"
5f4294d20002310000000003,"[{""time"": 0.007, ""thrust"": 0.162}, {""time"": 0.023, ""thrust"": 0.65}, {""time"": 0.041, ""thrust"": 1.463}, {""time"": 0.058, ""thrust"": 2.519}, {""time"": 0.074, ""thrust"": 3.738}, {""time"": 0.079, ""thrust"": 3.9}, {""time"": 0.088, ""thrust"": 4.915}, {""time"": 0.097, ""thrust"": 5.119}, {""time"": 0.106, ""thrust"": 5.4}, {""time"": 0.11, ""thrust"": 5.119}, {""time"": 0.118, ""thrust"": 3.981}, {""time"": 0.125, ""thrust"": 3.656}, {""time"": 0.132, ""thrust"": 3.453}, {""time"": 0.136, ""thrust"": 3.209}, {""time"": 0.151, ""thrust"": 3.169}, {""time"": 0.156, ""thrust"": 2.966}, {""time"": 0.168, ""thrust"": 2.884}, {""time"": 0.18, ""thrust"": 2.397}, {""time"": 0.194, ""thrust"": 1.625}, {""time"": 0.207, ""thrust"": 1.056}, {""time"": 0.218, ""thrust"": 0.406}, {""time"": 0.23, ""thrust"": 0.0}]"
5f4294d20002310000000004,"[{""time"": 0.016, ""thrust"": 0.243}, {""time"": 0.044, ""thrust"": 1.164}, {""time"": 0.08, ""thrust"": 2.698}, {""time"": 0.088, ""thrust"": 2.851}, {""time"": 0.096, ""thrust"": 3.312}, {""time"": 0.105, ""thrust"": 3.804}, {""time"": 0.116, ""thrust"": 4.325}, {""time"": 0.129, ""thrust"": 4.754}, {""time"": 0.131, ""thrust"": 4.754}, {""time"": 0.135, ""thrust"": 4.95}, {""time"": 0.139, ""thrust"": 4.815}, {""time"": 0.143, ""thrust"": 4.814}, {""time"": 0.149, ""thrust"": 4.66}, {""time"": 0.157, ""thrust"": 4.289}, {""time"": 0.173, ""thrust"": 3.548}, {""time"": 0.187, ""thrust"": 2.808}, {""time"": 0.194, ""thrust"": 2.592}, {""time"": 0.197, ""thrust"": 2.13}, {""time"": 0.202, ""thrust"": 1.913}, {""time"": 0.206, ""thrust"": 1.512}, {""time"": 0.213, ""thrust"": 1.389}, {""time"": 0.218, ""thrust"": 1.112}, {""time"": 0.227, ""thrust"": 0.802}, {""time"": 0.236, ""thrust"": 0.493}, {""time"": 0.241, ""thrust"": 0.277}, {""time"": 0.25, ""thrust"": 0.0}]"
5f4294d20002310000000006,"[{""time"": 0.024, ""thrust"": 0.501}, {""time"": 0.042, ""thrust"": 1.454}, {""time"": 0.064, ""thrust"": 3.009}, {""time"": 0.076, ""thrust"": 4.062}, {""time"": 0.088, ""thrust"": 4.914}, {""time"": 0.093, ""thrust"": 5.065}, {""time"": 0.103, ""thrust"": 6.068}, {""time"": 0.112, ""thrust"": 6.87}, {""time"": 0.117, ""thrust"": 7.021}, {""time"": 0.126, ""thrust"": 7.62}, {""time"": 0.137, ""thrust"": 7.472}, {""time"": 0.146, ""thrust"": 6.87}, {""time"": 0.153, ""thrust"": 6.118}, {""time"": 0.159, ""thrust"": 5.065}, {""time"": 0.166, ""thrust"": 4.363}, {""time"": 0.179, ""thrust"": 3.66}, {""time"": 0.197, ""thrust"": 2.908}, {""time"": 0.222, ""thrust"": 2.256}, {""time"": 0.25, ""thrust"": 2.156}, {""time"": 0.277, ""thrust"": 2.106}, {""time"": 0.294, ""thrust"": 2.056}, {""time"": 0.304, ""thrust"": 2.156}, {""time"": 0.316, ""thrust"": 1.955}, {""time"": 0.326, ""thrust"": 1.554}, {""time"": 0.339, ""thrust"": 1.053}, {""time"": 0.35, ""thrust"": 0.651}, {""time"": 0.36, ""thrust"": 0.0}]"
5f4294d20002310000000008,"[{""time"": 0.014, ""thrust"": 0.241}, {""time"": 0.036, ""thrust"": 0.895}, {""time"": 0.064, ""thrust"": 2.618}, {""time"": 0.1, ""thrust"": 4.82}, {""time"": 0.111, ""thrust"": 4.133}, {""time"": 0.125, ""thrust"": 2.687}, {""time"": 0.139, ""thrust"": 2.307}, {""time"": 0.185, ""thrust"": 2.031}, {""time"": 0.296, ""thrust"": 1.928}, {""time"": 0.481, ""thrust"": 1.825}, {""time"": 0.517, ""thrust"": 1.722}, {""time"": 0.538, ""thrust"": 1.791}, {""time"": 0.649, ""thrust"": 1.688}, {""time"": 0.748, ""thrust"": 1.757}, {""time"": 0.869, ""thrust"": 1.825}, {""time"": 1.04, ""thrust"": 1.894}, {""time"": 1.101, ""thrust"": 1.894}, {""time"": 1.119, ""thrust"": 1.825}, {""time"": 1.144, ""thrust"": 1.928}, {""time"": 1.229, ""thrust"": 1.859}, {""time"": 1.265, ""thrust"": 1.894}, {""time"": 1.283, ""thrust"": 1.757}, {""time"": 1.29, ""thrust"": 1.412}, {""time"": 1.293, ""thrust"": 0.688}, {""time"": 1.3, ""thrust"": 0.275}, {""time"": 1.31, ""thrust"": 0.0}]"
5f4294d2000231000000000a,"[{""time"": 0.1, ""thrust"": 4.8}, {""time"": 0.2, ""thrust"": 11.82}, {""time"": 0.23, ""thrust"": 7.9}, {""time"": 0.3, ""thrust"": 4.8}, {""time"": 0.41, ""thrust"": 0.0}]"
5f4294d2000231000000000b,"[{""time"": 0.041, ""thrust"": 0.512}, {""time"": 0.084, ""thrust"": 2.115}, {""time"": 0.127, ""thrust"": 4.358}, {""time"": 0.166, ""thrust"": 6.794}, {""time"": 0.192, ""thrust"": 8.588}, {""time"": 0.206, ""thrust"": 9.294}, {""time"": 0.226, ""thrust"": 9.73}, {""time"": 0.236, ""thrust"": 8.845}, {""time"": 0.247, ""thrust"": 7.179}, {""time"": 0.261, ""thrust"": 5.063}, {""time"": 0.277, ""thrust"": 3.717}, {""time"": 0.306, ""thrust"": 3.205}, {""time"": 0.351, ""thrust"": 2.884}, {""time"": 0.405, ""thrust"": 2.499}, {""time"": 0.467, ""thrust"": 2.371}, {""time"": 0.532, ""thrust"": 2.307}, {""time"": 0.589, ""thrust"": 2.371}, {""time"": 0.632, ""thrust"": 2.371}, {""time"": 0.652, ""thrust"": 2.243}, {""time"": 0.668, ""thrust"": 1.794}, {""time"": 0.684, ""thrust"": 1.153}, {""time"": 0.703, ""thrust"": 0.448}, {""time"": 0.73, ""thrust"": 0.0}]"
5f4294d2000231000000000c,"[{""time"": 0.016, ""thrust"": 0.492}, {""time"": 0.04, ""thrust"": 0.752}, {""time"": 0.062, ""thrust"": 0.962}, {""time"": 0.078, ""thrust"": 2.051}, {""time"": 0.096, ""thrust"": 2.858}, {""time"": 0.122, ""thrust"": 4.611}, {""time"": 0.138, ""thrust"": 6.054}, {""time"": 0.162, ""thrust"": 8.1}, {""time"": 0.18, ""thrust"": 9.502}, {""time"": 0.198, ""thrust"": 9.74}, {""time"": 0.212, ""thrust"": 8.204}, {""time"": 0.224, ""thrust"": 4.53}, {""time"": 0.238, ""thrust"": 2.054}, {""time"": 0.268, ""thrust"": 1.414}, {""time"": 0.292, ""thrust"": 1.385}, {""time"": 0.324, ""thrust"": 1.067}, {""time"": 0.364, ""thrust"": 1.099}, {""time"": 0.396, ""thrust"": 0.957}, {""time"": 0.446, ""thrust"": 0.995}, {""time"": 0.49, ""thrust"": 0.901}, {""time"": 0.574, ""thrust"": 0.909}, {""time"": 0.676, ""thrust"": 0.909}, {""time"": 0.782, ""thrust"": 1.031}, {""time"": 0.886, ""thrust"": 1.048}, {""time"": 0.98, ""thrust"": 1.029}, {""time"": 1.006, ""thrust"": 0.995}, {""time"": 1.038, ""thrust"": 1.049}, {""time"": 1.05, ""thrust"": 0.741}, {""time"": 1.06, ""thrust"": 0.0}]"
5f4294d2000231000000000d,"[{""time"": 0.057, ""thrust"": 1.637}, {""time"": 0.093, ""thrust"": 4.091}, {""time"": 0.121, ""thrust"": 5.48}, {""time"": 0.143, ""thrust"": 4.787}, {""time"": 0.157, ""thrust"": 3.478}, {""time"": 0.207, ""thrust"": 2.578}, {""time"": 0.328, ""thrust"": 2.087}, {""time"": 0.371, ""thrust"": 2.087}, {""time"": 0.406, ""thrust"": 1.882}, {""time"": 0.641, ""thrust"": 1.841}, {""time"": 0.869, ""thrust"": 1.841}, {""time"": 1.283, ""thrust"": 1.882}, {""time"": 1.361, ""thrust"": 1.882}, {""time"": 1.397, ""thrust"": 1.718}, {""time"": 1.439, ""thrust"": 1.841}, {""time"": 1.532, ""thrust"": 1.718}, {""time"": 1.71, ""thrust"": 1.841}, {""time"": 1.888, ""thrust"": 1.882}, {""time"": 2.095, ""thrust"": 1.8}, {""time"": 2.23, ""thrust"": 1.8}, {""time"": 2.295, ""thrust"": 1.677}, {""time"": 2.423, ""thrust"": 1.759}, {""time"": 2.444, ""thrust"": 1.637}, {""time"": 2.466, ""thrust"": 0.982}, {""time"": 2.494, ""thrust"": 0.327}, {""time"": 2.53, ""thrust"": 0.0}]"
