caseInfo,length,totalWeightG,totImpulseNs,availability,type,designation,propWeightG,infoUrl,delays,updatedOn,maxThrustN,manufacturerAbbrev,certOrg,manufacturer,motorId,burnTimeS,propInfo,commonName,avgThrustN,impulseClass,diameter,sparky,dataFiles
,26,1.07,0.135,OOP,SU,MICRO_MAXX,0.4,http://www.nar.org/SandT/pdf/Quest/MicroMaxx.pdf,1,2019-04-17,1.898,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000002,0.827,black powder,1/8A0.3,0.163,A,6,False,2
,26,1,0.218,regular,SU,MICRO_MAXX_II,0.5,,1,2019-04-17,2.108,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000001,0.772,black powder,1/8A0.3,0.284,A,6,False,3
,38,,0.57,OOP,SU,1/4A2,0.75,http://nar.org/SandT/pdf/Apogee/qtrA2.pdf,"2,4",2019-04-17,5.4,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000003,0.23,,1/4A2,2.48,A,10.5,False,2
,45,6.1,0.59,regular,SU,1/4A3,0.83,http://nar.org/SandT/pdf/Estes/qtrA3.pdf,3,2019-10-05,4.95,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000004,0.25,black powder,1/4A3,2.36,A,13,False,2
,45,6.6,1.09,regular,SU,1/2A3,2,http://nar.org/SandT/pdf/Estes/halfA3T.pdf,"2,4",2019-10-05,7.62,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000006,0.36,black powder,1/2A3,3.03,A,13,False,2
,70,,1.13,regular,SU,1/2A6,2.6,http://nar.org/SandT/pdf/Estes/halfA6.pdf,2,2019-04-17,7.86,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000007,0.33,black powder,1/2A6,3.42,A,18,False,2
,38,,1.22,OOP,SU,1/2A2,1.5,http://nar.org/SandT/pdf/Apogee/halfA2.pdf,"2,4,6",2019-04-17,3.97,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000005,0.63,,1/2A2,1.94,A,10.5,False,2
,55,8.8,1.71,OOP,SU,A3T,3.6,,"2,4",2019-04-17,2.79,Quest,National Association of Rocketry,Quest Aerospace,5f4294d2000231000000038a,2.09,black powder,A3,0.82,A,13,False,1
,70,13.1,1.86,OOP,SU,A8-3,6.3,,3,2019-04-17,11.14,Quest,National Association of Rocketry,Quest Aerospace,5f4294d2000231000000030f,0.38,black powder,A8,4.84,A,18,False,1
,70,12,2.3,regular,SU,A6,3.5,http://www.nar.org/SandT/pdf/Quest/A6_cn.pdf,4,2019-04-17,10.07,Quest,National Association of Rocketry,Quest Aerospace,5f4294d2000231000000000a,0.55,black powder,A6,4.16,A,18,False,2
,70,15,2.38,OOP,SU,SCR-A8,3,,"3,5",2024-01-22,7.18,SCR,Austrialian Model Rocket Society Inc.,Southern Cross Rocketry,5f4294d20002310000000404,0.75,black powder,A8,3.17,A,18,False,1
,57,,2.47,OOP,SU,A2,3,http://nar.org/SandT/pdf/Apogee/A2.pdf,"0,3,5,7",2019-04-17,4.82,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000008,1.31,,A2,1.89,A,10.5,False,2
,45,8.5,2.5,regular,SU,A3,3.3,https://nar.org/SandT/pdf/Estes/Estes_A3T_2022.pdf,"2,4,6",2022-07-27,5.83,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000009,1.01,black powder,A3,2.2,A,13,False,2
,45,8.25,2.5,regular,SU,A10,3.8,http://www.nar.org/SandT/pdf/Estes/A10T.pdf,"0,3,P",2019-10-05,12.64,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000000c,0.85,black powder,A10,2.35,A,13,False,3
,80,17.9,2.5,regular,SU,A3,2.1,,"4,6",2019-04-17,7,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f4294d2000231000000045b,0.84,Black Max,A3,3.4,A,18,False,2
,70,16.3,2.5,regular,SU,A8,3.3,http://nar.org/SandT/pdf/Estes/A8.pdf,"0,3,5",2019-10-05,9.73,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000000b,0.73,black powder,A8,3.18,A,18,False,3
,70,14.5,2.5,regular,SU,A6,3.5,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-A6-4-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0164&t=23&c=712&p=712,4,2020-10-17,10.5,Klima,Uncertified,Raketenmodellbau Klima,5f76951c9503a10004898852,0.6,black powder,A6,6,A,18,False,2
,70,16.6,3.84,OOP,SU,B4-4,10.4,,4,2019-04-17,12.81,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000310,0.91,black powder,B4,4.22,B,18,False,1
,70,19.099999999999998,4.33,regular,SU,B6,5.6,http://www.nar.org/SandT/pdf/Estes/B6.pdf,"0,2,4,6",2022-11-30,12.14,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000010,0.86,black powder,B6,5.03,B,18,False,2
,70,18.4,4.63,OOP,SU,B6,6.5,http://nar.org/SandT/pdf/Quest/B6~04.pdf,"0,2,4",2021-06-13,14.38,Quest,National Association of Rocketry,Quest Aerospace,5f4294d2000231000000000f,0.75,black powder,B6,6.17,B,18,False,2
,88,,4.82,OOP,SU,B2,6,http://nar.org/SandT/pdf/Apogee/B2.pdf,"0,3,5,7,9",2019-04-17,5.48,Apogee,National Association of Rocketry,Apogee Components,5f4294d2000231000000000d,2.53,,B2,1.91,B,10.5,False,2
,70,19,4.84,OOP,SU,SCR-B6,6,,,2024-01-22,12.98,SCR,Austrialian Model Rocket Society Inc.,Southern Cross Rocketry,5f4294d20002310000000402,1.26,black powder,B6,3.83,B,18,False,1
,80,19.8,4.86,regular,SU,B4,3.6,,"4,6",2019-04-17,7,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f4294d2000231000000045c,1.1,Black Max,B4,4.4,B,18,False,2
,79.2,19.3,4.87,regular,SU,B6W,2.8,,"4,6",2021-05-25,9.13,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,60ac76068dc4640004c24d93,1.17,White Lightning,B6,4.22,B,18,False,2
,50,,4.97,OOP,SU,B7,2.8,http://nar.org/SandT/pdf/Apogee/B7.pdf,"4,6,8,10",2019-04-17,14.76,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000012,0.74,,B7,6.72,B,13,False,2
,70,18.85,5,regular,SU,B4,6,http://nar.org/SandT/pdf/Estes/B4.pdf,"2,4",2019-10-05,12.75,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000000e,1.03,black powder,B4,4.17,B,18,False,3
,70,,5,regular,SU,B2,,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B2-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0220&t=23&c=712&p=712,"0,4,P",2020-10-02,,Klima,Uncertified,Raketenmodellbau Klima,5f7695bd9503a10004898855,2.5,black powder,B2,2,B,18,False,1
,70,16.299999999999997,5,regular,SU,B4,5.4,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B4-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0240&t=23&c=712&p=712,"0,4,P",2020-10-17,8,Klima,Uncertified,Raketenmodellbau Klima,5f8b05a5d5fa3b000447e825,1.2,black powder,B4,4,B,18,False,2
,70,24.8,7.79,regular,SU,C5,11.299999999999999,https://nar.org/SandT/pdf/Estes/Estes_C5_2019.pdf,3,2022-07-27,20.41,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000014,1.99,black powder,C5,3.91,C,18,False,4
,70,21,8.76,regular,SU,C6,12,http://www.nar.org/SandT/pdf/Quest/C6_cn.pdf,"0,3,5",2019-04-17,15.46,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000016,2.54,black powder,C6,3.45,C,18,False,2
,70,35.23,8.8,regular,SU,C11,12,http://nar.org/SandT/pdf/Estes/C11.pdf,"0,3,5,7",2019-10-05,21.73,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000001a,0.81,black powder,C11,10.86,C,24,False,2
,70,24.1,8.82,regular,SU,C6,10.8,http://nar.org/SandT/pdf/Estes/C6.pdf,"0,3,5,7",2019-10-05,14.09,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000015,1.86,black powder,C6,4.74,C,18,False,3
