handle,id,detail_url,image_url
loc-iv,6677839020223,https://locprecision.com/collections/rocket-kits/products/loc-iv,//locprecision.com/cdn/shop/products/78_b74019b7-1f76-4fae-8959-43303c7bdc0d_540x.jpg?v=1623234669
loc-goblin,6677843771583,https://locprecision.com/collections/rocket-kits/products/loc-goblin,//locprecision.com/cdn/shop/products/62_d8924c62-c931-4f6b-b1c8-ffd56345549d_540x.jpg?v=1627161576
yiris4,6677841936575,https://locprecision.com/collections/rocket-kits/products/yiris4,//locprecision.com/cdn/shop/products/YIRIS4-Cut_540x.jpg?v=1627160266
ezi-65,6677839118527,https://locprecision.com/collections/rocket-kits/products/ezi-65,//locprecision.com/cdn/shop/products/5_e355f117-9cf3-4e73-a7ac-aebafb73a84d_540x.jpg?v=1623155157
iris,6677838758079,https://locprecision.com/collections/rocket-kits/products/iris,//locprecision.com/cdn/shop/products/46_37718adf-58bf-4b32-b9ea-bfb6d9d58b68_540x.jpg?v=1623163828
forte,6677838725311,https://locprecision.com/collections/rocket-kits/products/forte,//locprecision.com/cdn/shop/products/17_7c25f8b4-6cff-4524-93dd-87d1654f9749_540x.jpg?v=1623160043
vulcanite-h76,6677838397631,https://locprecision.com/collections/rocket-kits/products/vulcanite-h76,//locprecision.com/cdn/shop/products/79_7f7d051e-e1dd-4f1f-b0a1-08dcf0e4b61a_540x.jpg?v=1621673280
hi-tech,6677838627007,https://locprecision.com/collections/rocket-kits/products/hi-tech,//locprecision.com/cdn/shop/products/27_584f6406-dcc8-47b0-9e3d-f3b26cec53df_540x.jpg?v=1623161770
t-loc-4,6677845639359,https://locprecision.com/collections/rocket-kits/products/t-loc-4,//locprecision.com/cdn/shop/products/94_5fe9a93f-2277-47dd-8111-3977a90ef038_540x.jpg?v=1623335223
minie-mag,6677839380671,https://locprecision.com/collections/rocket-kits/products/minie-mag,//locprecision.com/cdn/shop/products/18_d0efec94-18e7-4b34-958b-81dfd206dc72_540x.jpg?v=1623241291
athena3,6677838692543,https://locprecision.com/collections/rocket-kits/products/athena3,//locprecision.com/cdn/shop/products/24_653e2768-a1a2-4d13-a0e5-35e7594587c2_540x.jpg?v=1620915799
graduator,6677838594239,https://locprecision.com/collections/rocket-kits/products/graduator,//locprecision.com/cdn/shop/products/22_e4d617f2-b2b2-4c8b-9be8-4de73c2d75a3_540x.jpg?v=1623161201
warlock,6677839282367,https://locprecision.com/collections/rocket-kits/products/warlock,//locprecision.com/cdn/shop/products/23_6964f28a-859f-4e7a-9720-7b6f8f61c593_540x.jpg?v=1623393514
phoenix4,6677844361407,https://locprecision.com/collections/rocket-kits/products/phoenix4,//locprecision.com/cdn/shop/products/58_5f17c930-733f-4953-9ad3-fd6b1565e7e2_540x.jpg?v=1623329083
lil-nuke,6677837938879,https://locprecision.com/collections/rocket-kits/products/lil-nuke,//locprecision.com/cdn/shop/products/90_a0a69858-737b-4b81-9e01-6a846750866b_540x.jpg?v=1621675415
t-loc-263,6677845835967,https://locprecision.com/collections/rocket-kits/products/t-loc-263,//locprecision.com/cdn/shop/products/89_e86e60f8-8a32-4d2b-af1b-0014ce1ab371_540x.jpg?v=1627158226
iris-flying-model-rocket-kit,6677846753471,https://locprecision.com/collections/rocket-kits/products/iris-flying-model-rocket-kit,//locprecision.com/cdn/shop/products/locprecision-2_10_540x.jpg?v=1621340018
micro-magg,6677842034879,https://locprecision.com/collections/rocket-kits/products/micro-magg,//locprecision.com/cdn/shop/products/13_0d5aa9ec-9442-4edc-818a-5246308c0a2e_540x.jpg?v=1623240955
onyx,6677838659775,https://locprecision.com/collections/rocket-kits/products/onyx,//locprecision.com/cdn/shop/products/48_8795f426-3b85-4474-a41c-2db38952db8f_540x.jpg?v=1623250497
hyperloc-835,6677839184063,https://locprecision.com/collections/rocket-kits/products/hyperloc-835,//locprecision.com/cdn/shop/products/38_60fab2af-c4d1-413f-9508-48ac3ce9a9e4_540x.jpg?v=1623163005
loc-v-2,6677839085759,https://locprecision.com/collections/rocket-kits/products/loc-v-2,//locprecision.com/cdn/shop/products/6_14bd2df4-b590-4259-8276-f256cb15d761_540x.jpg?v=1623390455
nuke-pro-max,6677837971647,https://locprecision.com/collections/rocket-kits/products/nuke-pro-max,//locprecision.com/cdn/shop/products/86_540x.jpg?v=1627157732
pfy-iris,6677841707199,https://locprecision.com/collections/rocket-kits/products/pfy-iris,//locprecision.com/cdn/shop/products/73_11da4977-c93b-40ae-81f5-e1f66356354c_540x.jpg?v=1621672014
loc-i-hi-tech,6677844066495,https://locprecision.com/collections/rocket-kits/products/loc-i-hi-tech,//locprecision.com/cdn/shop/products/hitechweb_540x.jpg?v=1640291898
park-flyer-hyperloc-160,6677842460863,https://locprecision.com/collections/rocket-kits/products/park-flyer-hyperloc-160,//locprecision.com/cdn/shop/products/55_c5af09b7-b9fd-4f80-8db0-b1567d6656df_540x.jpg?v=1621664987
lc-bbx4,6677844558015,https://locprecision.com/collections/rocket-kits/products/lc-bbx4,//locprecision.com/cdn/shop/products/58_540x.jpg?v=1627158487
swr-300,7703801528553,https://locprecision.com/collections/rocket-kits/products/swr-300,//locprecision.com/cdn/shop/products/SWR-300FlashWeb_540x.jpg?v=1652225782
photon,6677846491327,https://locprecision.com/collections/rocket-kits/products/photon,//locprecision.com/cdn/shop/products/36_cccd04d0-0743-460c-b8b1-46e332a6cf84_540x.jpg?v=1621601252
